No,Kabupaten,2014,2015,2016,2017,2018,parent_province_id,parent_province_name
1,Simeulue,4326,5203,8212,9216,7331,1,Aceh
2,Aceh Singkil,1078,967,879,1089,373,1,Aceh
3,Aceh Selatan,13913,12272,13986,12781,701,1,Aceh
4,Aceh Tenggara,12494,13717,14085,14101,8746,1,Aceh
5,Aceh Timur,35065,3281,32929,32968,1846,1,Aceh
6,Aceh Tengah,7394,6475,4683,4136,6467,1,Aceh
7,Aceh Barat,14631,14815,15987,15881,8975,1,Aceh
8,Aceh Besar,29057,30233,29818,30302,17742,1,Aceh
9,Pidie,29659,29673,29671,29726,23919,1,Aceh
10,Bireuen,22541,22586,22542,22589,14933,1,Aceh
11,Aceh Utara,44719,44989,45370,45855,37510,1,Aceh
12,Aceh Barat Daya,11673,1169,10199,10289,7074,1,Aceh
13,Gayo Lues,7534,7746,7825,7890,4775,1,Aceh
14,Aceh Tamiang,16305,16488,15895,16058,7651,1,Aceh
15,Nagan Raya,15684,13898,14086,14096,5790,1,Aceh
16,Aceh Jaya,12254,11863,12153,12498,3946,1,Aceh
17,Bener Meriah,1952,804,791,777,1609,1,Aceh
18,Pidie Jaya,8739,8798,8824,8910,8341,1,Aceh
19,Kota Banda Aceh,73,70,70,84,88,1,Aceh
20,Kota Sabang,0,0,0,0,36,1,Aceh
21,Kota Langsa,1925,1925,1656,1654,1128,1,Aceh
22,Kota Lhokseumawe,1654,1827,1827,1827,1287,1,Aceh
23,Kota Subulussalam,1459,1488,1579,1755,1190,1,Aceh
24,Nias,5659,6869,6954,6954,4818,2,Sumatera Utara
25,Mandailing Natal,20234,21143,22053,22053,11285,2,Sumatera Utara
26,Tapanuli Selatan,18703,17170,17597,17817,11235,2,Sumatera Utara
27,Tapanuli Tengah,15141,14913,14761,15017,6915,2,Sumatera Utara
28,Tapanuli Utara,19021,19021,18758,18758,18814,2,Sumatera Utara
29,Toba Samosir,19733,19909,19878,18856,15467,2,Sumatera Utara
30,Labuhan Batu,24281,24281,24281,24281,1396,2,Sumatera Utara
31,Asahan,9715,9615,9557,9562,6281,2,Sumatera Utara
32,Simalungun,41469,34714,34144,32026,24784,2,Sumatera Utara
33,Dairi,9915,9831,9958,9931,9136,2,Sumatera Utara
34,Karo,10449,10020,10048,9422,10611,2,Sumatera Utara
35,Deli Serdang,41968,40721,40630,40222,24550,2,Sumatera Utara
36,Langkat,37529,36298,36991,35397,14939,2,Sumatera Utara
37,Nias Selatan,13262,13615,13127,11521,4104,2,Sumatera Utara
38,Humbang Hasundutan,13602,13606,13602,13619,11988,2,Sumatera Utara
39,Pakpak Bharat,1602,1305,1278,1280,991,2,Sumatera Utara
40,Samosir,6530,6530,5984,6530,6315,2,Sumatera Utara
41,Serdang Bedagai,38542,38105,38155,37980,27457,2,Sumatera Utara
42,Batu Bara,16675,16145,15662,15769,11127,2,Sumatera Utara
43,Padang Lawas Utara,15899,15899,16289,16289,6082,2,Sumatera Utara
44,Padang Lawas,11828,11230,11230,11307,5447,2,Sumatera Utara
45,Labuhan Batu Selatan,600,529,550,559,101,2,Sumatera Utara
46,Labuhan Batu Utara,22831,22831,22831,21884,747,2,Sumatera Utara
47,Nias Utara,4395,6005,5701,5825,2321,2,Sumatera Utara
48,Nias Barat,1928,2527,2698,2698,1137,2,Sumatera Utara
49,Kota Sibolga,0,0,0,0,0,2,Sumatera Utara
50,Kota Tanjung Balai,119,119,116,123,55,2,Sumatera Utara
51,Kota Pematang Siantar,2098,2075,1929,1945,1662,2,Sumatera Utara
52,Kota Tebing Tinggi,335,335,287,230,272,2,Sumatera Utara
53,Kota Medan,2021,1470,1442,1264,796,2,Sumatera Utara
54,Kota Binjai,1772,1758,1758,1748,1191,2,Sumatera Utara
55,Kota Padang Sidempuan,4015,3166,3166,3166,3060,2,Sumatera Utara
56,Kota Gunungsitoli,1172,1710,1614,1642,719,2,Sumatera Utara
