No,Provinsi,2014,2015,2016,2017,2018,Lat,Long,ZoomLevel
1,Aceh,294129,290337,293067,294483,193308,4.0428335,95.5277014,6
2,Sumatera Utara,433043,423465,423029,415675,245801,2.2945924,98.3337639,5.75
3,Sumatera Barat,225890,226377,222482,222021,197800,-0.7098715,100.039821,6
4,Riau,87594,72005,72151,70016,86247,0.5851638,100.9454625,5.75
5,Jambi,101195,94735,96588,97690,111147,-1.7336588,101.9468273,6.25
6,Sumatera Selatan,616753,620632,615184,621903,387237,-3.2720263,103.0069554,6
7,Bengkulu,88756,85130,83449,82429,47968,-3.8251718,102.2345377,10
8,Lampung,363055,377463,390799,396599,253583,-4.9991922,104.2720973,6.5
9,Bangka Belitung,7490,10668,13820,13679,5409,-2.2913219,105.9542429,6.5
10,Kepulauan Riau,405,246,286,310,1220,0.3267439,103.6958847,6.5
11,DKI Jakarta,778,650,581,571,451,-6.2660949,106.6747869,8.75
12,Jawa Barat,924307,912794,913976,911817,930334,-6.8476309,106.9435255,6.5
13,Jawa Tengah,966647,965261,963665,951752,980618,-7.0298854,109.3965536,6.5
14,D.I. Yogyakarta,54417,53553,53985,51343,75990,-7.8722737,110.1440848,8
15,Jawa Timur,1101765,1091752,1087018,1081873,1287356,-7.2632853,111.7386641,5.75
16,Banten,20048,199492,203123,199408,198284,-6.4444069,105.3795016,7
17,Bali,76655,75922,76096,74278,69078,-8.4134894,114.6220277,7.25
18,Nusa Tenggara Barat,254298,264666,276230,276306,227786,-8.5530519,116.5093984,6.25
19,Nusa Tenggara Timur,172954,177238,181039,184346,146071,-9.5229324,119.8148707,5
20,Kalimantan Barat,323959,330724,356741,368728,155818,-0.4729539,108.8664693,5
21,Kalimantan Tengah,215545,196813,194782,180034,187008,-1.3777532,111.0453782,5
22,Kalimantan Selatan,431437,450152,454121,447918,252972,-3.0266009,114.3294175,6
23,Kalimantan Timur,55485,57087,56505,59425,36399,0.104003,114.1860194,5
24,Kalimantan Utara,21775,21448,20520,18189,14265,2.7972337,114.9213643,5.5
25,Sulawesi Utara,60475,55825,60562,59886,52236,2.930415,122.9028888,5
26,Sulawesi Tengah,141448,129014,132489,136541,11967,-1.1264261,119.5696642,5
27,Sulawesi Selatan,623139,628148,64919,646611,641457,-4.8179191,117.1943171,5
28,Sulawesi Tenggara,96826,103812,109854,108466,79910,-4.4918632,121.6191469,6
29,Gorontalo,32116,32054,32749,32681,29067,0.6763629,121.2352719,6
30,Sulawesi Barat,62312,61292,63671,64232,42216,-2.2070479,118.1689824,6
31,Maluku,13519,13394,14354,16732,13660,-4.8361302,125.8156719,5
32,Maluku Utara,10516,11801,13068,13221,9041,0.0892004,124.7251919,5
33,Papua Barat,9587,10193,10680,11340,4239,-1.6174939,130.0339175,5
34,Papua,42843,48764,51880,53543,21498,-4.8481082,133.3090458,5
35,Indonesia,8111593,8092907,8187734,8164045,7105145,-0.8941929,117.8948429,3.5
