No,Provinsi,2014,2015,2016,2017,2018,Lat,Long,ZoomLevel
1,Aceh,1163929.649,1490703.917,1410133.312,1595305.014,1190472.16,4.0428335,95.5277014,6
2,Sumatera Utara,2312245.635,2575747.107,2935514.909,3270723.245,1342555.71,2.2945924,98.3337639,5.75
3,Sumatera Barat,1619226.056,1639531.465,1609218.946,1815594.385,953321.5613,-0.7098715,100.039821,6
4,Riau,245586.1225,250964.5207,237979.7856,233015.5024,169707.8502,0.5851638,100.9454625,5.75
5,Jambi,426883.184,347742.3092,483455.2242,502231.8678,245991.9742,-1.7336588,101.9468273,6.25
6,Sumatera Selatan,2339902.313,2708050.275,3235065.788,3151207.763,1908797.298,-3.2720263,103.0069554,6
7,Bengkulu,379288.2436,369991.3676,410418.7114,467509.4586,184665.4465,-3.8251718,102.2345377,10
8,Lampung,2118864.845,2324257.389,2565832.044,2711697.121,1588251.267,-4.9991922,104.2720973,6.5
9,Bangka Belitung,15450.498,17810.744,23285.304,24426.934,30086.84602,-2.2913219,105.9542429,6.5
10,Kepulauan Riau,891.3259,609.2527,398.3331,405.9567,696.9241,0.3267439,103.6958847,6.5
11,DKI Jakarta,4934.8304,4162.6384,3495.8048,2773.3472,3205.997216,-6.2660949,106.6747869,8.75
12,Jawa Barat,7465544.749,7291322.618,8039746.605,7885338.311,6184921.695,-6.8476309,106.9435255,6.5
13,Jawa Tengah,6159349.594,7214827.805,7324465.982,7275374.299,6702937.126,-7.0298854,109.3965536,6.5
14,D.I. Yogyakarta,579882.7338,#VALUE!,556631.8812,555625.4436,324718.32,-7.8722737,110.1440848,8
15,Jawa Timur,7946508.409,8432333.847,8739202.341,8371757.424,6540259.642,-7.2632853,111.7386641,5.75
16,Banten,1293611.821,1384102.171,1491091.125,1526041.507,1067185.381,-6.4444069,105.3795016,7
17,Bali,537158.7384,534507.831,529404.4899,523480.3317,417651.9385,-8.4134894,114.6220277,7.25
18,Nusa Tenggara Barat,1338349.575,1528516.962,1324742.479,1469276.142,923372.2296,-8.5530519,116.5093984,6.25
19,Nusa Tenggara Timur,536970.9184,616541.6264,601139.2709,709360.8963,585228.3028,-9.5229324,119.8148707,5
20,Kalimantan Barat,901586.076,837884.3576,896219.3632,918175.5304,525252.9499,-0.4729539,108.8664693,5
21,Kalimantan Tengah,552713.6958,588977.3988,510682.8804,508986.2442,339438.7116,-1.3777532,111.0453782,5
22,Kalimantan Selatan,1375936.171,1405947.304,1519786.761,1610959.225,872029.7641,-3.0266009,114.3294175,6
23,Kalimantan Timur,275434.3119,263950.5374,197156.1009,#VALUE!,169673.0943,0.104003,114.1860194,5
24,Kalimantan Utara,76089.522,73774.3262,53868.1174,49904.3811,29656.30909,2.7972337,114.9213643,5.5
25,Sulawesi Utara,397938.8626,#VALUE!,423030.5938,483973.3586,203938.7718,2.930415,122.9028888,5
26,Sulawesi Tengah,36874.3863,665370.6504,722136.6682,749924.6647,607449.1159,-1.1264261,119.5696642,5
27,Sulawesi Selatan,3456966.399,3486087.603,3648723.305,3857897.888,3792411.94,-4.8179191,117.1943171,5
28,Sulawesi Tenggara,419230.8375,421209,443272.2375,453518.1375,343533.5393,-4.4918632,121.6191469,6
29,Gorontalo,195085.0096,205323.278,213784.2931,217084.6407,167088.094,0.6763629,121.2352719,6
30,Sulawesi Barat,286678.3496,294471.7344,349746.5536,425342.96,201786.6087,-2.2070479,118.1689824,6
31,Maluku,63886.5137,73230.6647,61603.0096,65101.9372,72259.48226,-4.8361302,125.8156719,5
32,Maluku Utara,44779.5762,46762.1445,51078.9369,52212.1881,30472.96944,0.0892004,124.7251919,5
33,Papua Barat,18452.555,20156.073,18569.28,19687.172,16653.07571,-1.6174939,130.0339175,5
34,Papua,124253.9085,115223.3691,148078.4061,163475.2032,141435.4003,-4.8481082,133.3090458,5
35,Indonesia,45355906.89,48269697.81,50802921.83,51951329.88,37900181.69,-0.8941929,117.8948429,3.5
