No,Kabupaten,2014,2015,2016,2017,2018,parent_province_id,parent_province_name
1,Simeulue,26769,48458,61788,78070,79595,1,Aceh
2,Aceh Singkil,6671,9006,6614,9225,4050,1,Aceh
3,Aceh Selatan,86093,114295,105232,108270,7611,1,Aceh
4,Aceh Tenggara,77313,127753,105976,119452,94958,1,Aceh
5,Aceh Timur,216981,30558,247760,279278,20043,1,Aceh
6,Aceh Tengah,45754,60305,35235,35037,70214,1,Aceh
7,Aceh Barat,90536,137979,120287,134531,97444,1,Aceh
8,Aceh Besar,179804,281575,224353,256694,192630,1,Aceh
9,Pidie,183529,276359,223247,251815,259695,1,Aceh
10,Bireuen,139483,210355,169608,191356,162132,1,Aceh
11,Aceh Utara,276720,419005,341367,388446,407256,1,Aceh
12,Aceh Barat Daya,72232,10887,76738,87160,76804,1,Aceh
13,Gayo Lues,46620,72142,58876,66838,51844,1,Aceh
14,Aceh Tamiang,100895,153561,119595,136030,83069,1,Aceh
15,Nagan Raya,97052,129439,105984,119410,62864,1,Aceh
16,Aceh Jaya,75827,110486,91440,105873,42843,1,Aceh
17,Bener Meriah,12079,7488,5952,6582,17469,1,Aceh
18,Pidie Jaya,54077,81940,66392,75478,90561,1,Aceh
19,Kota Banda Aceh,452,652,527,712,955,1,Aceh
20,Kota Sabang,0,0,0,0,391,1,Aceh
21,Kota Langsa,11912,17928,12460,14011,12247,1,Aceh
22,Kota Lhokseumawe,10235,17016,13746,15477,13973,1,Aceh
23,Kota Subulussalam,9028,13858,11881,14867,12920,1,Aceh
24,Nias,47450,65611,75778,85925,41325,2,Sumatera Utara
25,Mandailing Natal,169661,201953,240314,272492,96793,2,Sumatera Utara
26,Tapanuli Selatan,156824,164003,191756,220151,96364,2,Sumatera Utara
27,Tapanuli Tengah,126956,142445,160852,185554,59311,2,Sumatera Utara
28,Tapanuli Utara,159490,181684,204408,231779,161370,2,Sumatera Utara
29,Toba Samosir,165460,190166,216613,232990,132662,2,Sumatera Utara
30,Labuhan Batu,203595,231926,264593,300022,11974,2,Sumatera Utara
31,Asahan,81460,91840,104144,118151,53873,2,Sumatera Utara
32,Simalungun,347715,331579,372071,395721,212576,2,Sumatera Utara
33,Dairi,83137,93903,108513,122710,78361,2,Sumatera Utara
34,Karo,87614,95708,109494,116421,91012,2,Sumatera Utara
35,Deli Serdang,351899,388957,442749,496993,210569,2,Sumatera Utara
36,Langkat,314678,346709,403095,437374,128134,2,Sumatera Utara
37,Nias Selatan,111201,130047,143046,142356,35201,2,Sumatera Utara
38,Humbang Hasundutan,114052,129961,148222,168280,102823,2,Sumatera Utara
39,Pakpak Bharat,13433,12465,13926,15816,8500,2,Sumatera Utara
40,Samosir,54754,62373,65208,80686,54165,2,Sumatera Utara
41,Serdang Bedagai,323172,363969,415779,469291,235502,2,Sumatera Utara
42,Batu Bara,139819,154213,170670,194846,95438,2,Sumatera Utara
43,Padang Lawas Utara,133312,151863,177503,201271,52166,2,Sumatera Utara
44,Padang Lawas,99177,107266,122374,139712,46720,2,Sumatera Utara
45,Labuhan Batu Selatan,5031,5053,5993,6907,866,2,Sumatera Utara
46,Labuhan Batu Utara,191437,218076,248792,270404,6407,2,Sumatera Utara
47,Nias Utara,36852,57358,62124,71975,19908,2,Sumatera Utara
48,Nias Barat,16166,24137,29400,33337,9752,2,Sumatera Utara
49,Kota Sibolga,0,0,0,0,0,2,Sumatera Utara
50,Kota Tanjung Balai,998,1137,1264,1520,472,2,Sumatera Utara
51,Kota Pematang Siantar,17592,19820,21021,24033,14255,2,Sumatera Utara
52,Kota Tebing Tinggi,2809,3200,3127,2842,2333,2,Sumatera Utara
53,Kota Medan,16946,14041,15714,15618,6827,2,Sumatera Utara
54,Kota Binjai,14858,16792,19157,21599,10215,2,Sumatera Utara
55,Kota Padang Sidempuan,33666,30241,34500,39120,26246,2,Sumatera Utara
56,Kota Gunungsitoli,9827,16333,17588,20289,6167,2,Sumatera Utara
57,Kepulauan Mentawai,7650,10715,11522,22823,10405,3,Sumatera Barat
58,Pesisir Selalan,345218,345685,338865,379375,178426,3,Sumatera Barat
59,Kota Solok,259050,261149,260965,294623,139780,3,Sumatera Barat
60,Sawahlunto Sijunjung,115753,116952,113154,129215,78618,3,Sumatera Barat
61,Tanah Datar,255738,258523,258175,287613,163770,3,Sumatera Barat
62,Padang Pariaman,251980,255864,255530,290221,135551,3,Sumatera Barat
63,Agam,294021,297012,297265,336987,176839,3,Sumatera Barat
64,Lima Puluh Kota,260857,263515,254135,278250,166053,3,Sumatera Barat
65,Pasaman,235699,242490,223551,251166,155087,3,Sumatera Barat
66,Solok Selatan,105828,112367,114324,130080,58078,3,Sumatera Barat
67,Dharmasraya,71403,69529,71936,77857,34911,3,Sumatera Barat
68,Pasaman Barat,145293,144343,133723,152877,84973,3,Sumatera Barat
69,Kota Padang,72440,72853,72128,81572,40495,3,Sumatera Barat
70,Kota Solok,9769,9870,9857,11144,763,3,Sumatera Barat
71,Kota Sawahlunto,18266,18929,18319,21220,9446,3,Sumatera Barat
72,Kota Padang Panjang,7025,7098,7089,8015,4154,3,Sumatera Barat
73,Kota Bukittinggi,4338,4383,4310,4872,2770,3,Sumatera Barat
74,Kota Payakumbuh,30555,30928,30877,34883,21430,3,Sumatera Barat
75,Kota Pariaman,28135,28404,27726,31715,21528,3,Sumatera Barat
76,Kuantan Singingi,53931,34832,52422,29524,29190,4,Riau
77,Indragiri Hulu,8212,13387,10644,9549,9201,4,Riau
78,Indragiri Hilir,115747,125881,116985,112087,73412,4,Riau
79,Pelalawan,31733,35817,33412,34204,23275,4,Riau
80,Siak,20564,25242,24932,24039,13800,4,Riau
81,Kampar,33331,27020,24772,24049,24140,4,Riau
82,Rokan Hulu ,13620,11937,9769,10123,11357,4,Riau
83,Bengkalis ,29256,30844,23897,24415,5535,4,Riau
84,Rokan Hilir,57473,70069,56517,77121,69854,4,Riau
85,Kepulauan Meranti,20239,17216,19776,20231,6393,4,Riau
86,Kota Pekanbaru,44,55,47,37,43,4,Riau
87,Kota Dumai,1325,1619,362,366,176,4,Riau
88,Kerinci,111241,118774,138280,144434,51374,5,Jambi
89,Merangin,56353,49487,74697,101132,38041,5,Jambi
90,Sarolangun,43399,29591,43810,45062,16715,5,Jambi
91,Batang Hari,58770,49413,69678,65204,28498,5,Jambi
92,Muaro Jambi,73622,60662,82748,86979,32954,5,Jambi
93,Tanjung Jabung Timur,145221,91841,135779,137253,98300,5,Jambi
94,Tanjung Jabung Barat,77412,56226,73972,62378,66159,5,Jambi
95,Tebo,30551,28459,58743,60129,15157,5,Jambi
96,Bungo,31366,28059,42368,45671,18552,5,Jambi
97,Kota Jambi,9117,5567,7841,8238,3777,5,Jambi
98,Kota Sungai Penuh,27667,23406,24894,25569,13520,5,Jambi
99,Ogan Komering Ulu,32845,36807,47275,45615,13338,6,Sumatera Selatan
100,Ogan Komering lilr,747617,846318,953899,979167,398912,6,Sumatera Selatan
101,Muara Enim,140104,168501,209102,170109,100495,6,Sumatera Selatan
102,Lahat,103617,116515,148621,152695,95299,6,Sumatera Selatan
103,Musi Rawas,115704,139150,186756,186078,95972,6,Sumatera Selatan
104,Musi Banyuasin,293883,349021,413585,407175,217584,6,Sumatera Selatan
105,Banyuasin,1158757,1366519,1586518,1531510,1186668,6,Sumatera Selatan
106,Ogan Komering Ulu Selatan,105652,123432,147920,142704,52277,6,Sumatera Selatan
107,Ogan Komering Ulu Timur,462047,549932,666679,614523,450083,6,Sumatera Selatan
108,Ogan llir,291521,326110,393416,394482,228208,6,Sumatera Selatan
109,Empat Lawang,73182,93563,111806,107731,65059,6,Sumatera Selatan
110,Penukal Abab Lematang llir ,34797,40134,57017,63300,15093,6,Sumatera Selatan
111,Musi Rawas Utara,41325,47934,57528,55431,12395,6,Sumatera Selatan
112,Kota Palembang,34755,4031,47299,47197,24596,6,Sumatera Selatan
113,Kota Prabumulih,2976,3624,3712,3577,1253,6,Sumatera Selatan
114,Kota Pagar Alam,20306,23553,27980,26547,28192,6,Sumatera Selatan
115,Kota Lubuk Linggau,11349,12777,15500,15229,8768,6,Sumatera Selatan
116,Bengkulu Selatan,70711,64003,76050,94495,60107,7,Bengkulu
117,Rejang Lebong,64956,66885,75696,87293,28455,7,Bengkulu
118,Bengkulu Utara,82854,76001,85288,94877,26667,7,Bengkulu
119,Kaur,54102,54800,62012,52787,36059,7,Bengkulu
120,Seluma,113190,113658,117617,126517,40677,7,Bengkulu
121,Mukomuko,47138,46956,53997,79584,13120,7,Bengkulu
122,Lebong,64194,65091,73673,84853,34692,7,Bengkulu
123,Kepahiang,31706,35523,40190,46170,15787,7,Bengkulu
124,Bengkulu Tengah,50861,44339,46344,51980,25775,7,Bengkulu
125,Kota Bengkulu,13480,11399,11015,12614,7472,7,Bengkulu
126,Lampung Barat,120967,128786,137320,143058,79907,8,Lampung
127,Tanggamus,188685,222076,236792,246508,135906,8,Lampung
128,Lampung Selatan,418694,441750,470713,488901,387890,8,Lampung
129,Lampung Timur,552931,607566,652600,678906,532524,8,Lampung
130,Lampung Tengah,691502,773257,845576,880599,640181,8,Lampung
131,Lampung Utara,161717,181949,193913,202400,100148,8,Lampung
132,Way Kanan,175672,187622,202873,242083,95904,8,Lampung
133,Tulang Bawang,331645,355397,417320,444772,55490,8,Lampung
134,Pesawaran,134950,149212,159099,169863,123107,8,Lampung
135,Pringsewu,124799,130523,142289,146540,133035,8,Lampung
136,Mesuji,204715,238112,313559,342415,59724,8,Lampung
137,Tulang Bawang Barat,100940,106614,121292,127138,48701,8,Lampung
138,Pesisir Barat,77146,81403,86797,94043,61424,8,Lampung
139,Kota Bandar Lampung,8660,9050,9629,9835,5387,8,Lampung
140,Kota Metro,27041,28578,30647,31916,29315,8,Lampung
141,Bangka,959,1700,5756,4215,6829,9,Bangka Belitung
142,Belitung,909,1040,1920,1238,5189,9,Bangka Belitung
143,Bangka Barat,4872,3994,4199,4391,5519,9,Bangka Belitung
144,Bangka Tengah,204,185,187,239,3398,9,Bangka Belitung
145,Bangka Selatan,14314,16865,19646,23014,17639,9,Bangka Belitung
146,Belitung Timur,2223,3283,3679,4027,7150,9,Bangka Belitung
147,Kota Pangkal Pinang,0,0,0,0,0,9,Bangka Belitung
148,Karimun,163,12,39,37,158,10,Kepulauan Riau
149,Bintan,180,58,7,14,67,10,Kepulauan Riau
150,Natuna,585,659,346,325,391,10,Kepulauan Riau
151,Lingga,0,0,112,148,135,10,Kepulauan Riau
152,Kepulauan Anambas,475,230,123,115,346,10,Kepulauan Riau
153,Kota Batam,0,0,0,0,0,10,Kepulauan Riau
154,Kota Tanjung Pinang,0,0,0,0,0,10,Kepulauan Riau
155,Kepulauan Seribu,0,0,0,0,0,11,DKI Jakarta
156,Kota Jakarta Selatan,0,0,0,0,0,11,DKI Jakarta
157,Kota Jakarta Timur,1008,724,680,549,1271,11,DKI Jakarta
158,Kota Jakarta Pusat,0,0,0,0,0,11,DKI Jakarta
159,Kota Jakarta Barat,1415,1135,910,661,0,11,DKI Jakarta
160,Kota Jakarta Utara,5118,4502,3751,3028,3628,11,DKI Jakarta
161,Bogor,555267,509751,558605,503148,541369,12,Jawa Barat
162,Sukabumi,806129,830963,913523,897250,641573,12,Jawa Barat
163,Cianjur,835950,818466,895370,902889,744825,12,Jawa Barat
164,Bandung,438466,431230,472506,456260,362009,12,Jawa Barat
165,Garut,607349,598489,657875,648252,490312,12,Jawa Barat
166,Tasikmalaya,643747,632517,699381,668122,518020,12,Jawa Barat
167,Ciamis,446605,440625,487064,479893,354751,12,Jawa Barat
168,Kuningan,357319,348186,383389,349236,348034,12,Jawa Barat
169,Cirebon,622694,595375,666437,634898,616580,12,Jawa Barat
170,Majalengka,628452,611311,692342,679304,635638,12,Jawa Barat
171,Sumedang,413219,374265,429574,423778,363366,12,Jawa Barat
172,lndramayu,1460332,1439781,1589332,1566087,1404985,12,Jawa Barat
173,Subang,1062874,1049456,1157549,1140785,1045391,12,Jawa Barat
174,Purwakarta,219239,220599,248101,244061,225781,12,Jawa Barat
175,Karawang,1228721,1202137,1315504,1288303,117376,12,Jawa Barat
176,Bekasi,653699,635084,677881,652636,681680,12,Jawa Barat
177,Bandung Barat,262767,270002,295575,290949,193898,12,Jawa Barat
178,Pangandaran,229129,204663,226134,223436,218823,12,Jawa Barat
179,Kota Bogor,9449,4000,4404,4330,3566,12,Jawa Barat
180,Kota Sukabumi,19301,18515,20087,18817,17782,12,Jawa Barat
181,Kota Bandung,12447,9170,9769,8269,15263,12,Jawa Barat
182,Kota Cirebon,3225,3327,3663,2711,2392,12,Jawa Barat
183,Kota Bekasi,5984,6217,6366,6124,3393,12,Jawa Barat
184,Kota Depok,2066,1869,1688,1470,0,12,Jawa Barat
185,Kota Cimahi,3477,1707,1962,1835,3186,12,Jawa Barat
186,Kota Tasikmalaya,75188,74098,81008,162195,61627,12,Jawa Barat
187,Kota Banjar,41802,41341,45457,44663,35736,12,Jawa Barat
188,Cilacap,641549,757423,770208,774623,701080,13,Jawa Tengah
189,Banyumas,317506,377962,383580,381612,329040,13,Jawa Tengah
190,Purbalingga,205828,237933,243628,227291,201872,13,Jawa Tengah
191,Banjarnegara,143417,170049,160645,159386,109726,13,Jawa Tengah
192,Kebumen,396385,465656,474076,476793,468725,13,Jawa Tengah
193,Purworejo,299131,348001,351208,343834,300045,13,Jawa Tengah
194,Wonosobo,157001,176746,176563,174617,127661,13,Jawa Tengah
195,Magelang,340921,400945,407618,403344,298654,13,Jawa Tengah
196,Boyolali,224672,263316,267654,269439,276179,13,Jawa Tengah
197,Klaten,331329,388909,385223,392292,332349,13,Jawa Tengah
198,Sukoharjo,204690,219621,243937,244940,227323,13,Jawa Tengah
199,Wonogiri,306457,357672,363519,350874,442536,13,Jawa Tengah
200,Karanganyar,220380,259429,262225,262674,234753,13,Jawa Tengah
201,Sragen,398312,460867,471766,475332,425276,13,Jawa Tengah
202,Grobogan,800027,938958,955509,969835,914826,13,Jawa Tengah
203,Blora,459915,538211,551773,555869,721038,13,Jawa Tengah
204,Rembang,275895,315101,325670,330004,406742,13,Jawa Tengah
205,Pati,522386,626959,634280,632898,620284,13,Jawa Tengah
206,Kudus,148976,176254,169991,179945,207782,13,Jawa Tengah
207,Jepara,245253,282904,287667,288011,281672,13,Jawa Tengah
208,Demak,481773,573711,594705,590738,634653,13,Jawa Tengah
209,Semarang,226519,263117,268463,268266,221455,13,Jawa Tengah
210,Temanggung,195717,234912,239568,244437,178006,13,Jawa Tengah
211,Kendal,253228,296075,296942,282575,260686,13,Jawa Tengah
212,Batang,210779,238296,252271,240881,195994,13,Jawa Tengah
213,Pekalongan,235611,260342,260867,252352,63911,13,Jawa Tengah
214,Pemalang,377022,441444,430644,428562,374546,13,Jawa Tengah
215,Tegal,371413,431796,445240,433100,195855,13,Jawa Tengah
216,Brebes,597213,729300,735360,702120,696508,13,Jawa Tengah
217,Kota Magelang,2096,2447,2476,2467,1724,13,Jawa Tengah
218,Kota Surakarta,729,948,893,898,857,13,Jawa Tengah
219,Kota Salatiga,7226,7891,8024,8070,6628,13,Jawa Tengah
220,Kota Semarang,31730,39433,31896,29145,25558,13,Jawa Tengah
221,Kota Pekalongan,10161,11661,11811,11735,10065,13,Jawa Tengah
222,Kota Tegal,6857,7130,7263,7304,5578,13,Jawa Tengah
223,Kulon Progo,171403,173062,166190,172264,74899,14,DI Yogyakarta
224,Bantul,238761,249128,230008,245456,100676,14,DI Yogyakarta
225,Gunung Kidul,132722,136212,128551,134904,216139,14,DI Yogyakarta
226,Sleman,375657,385728,357005,327487,122849,14,DI Yogyakarta
227,Kota Yogyakarta,1031,1006,948,995,373,14,DI Yogyakarta
228,Pacitan,139727,148244,155662,153183,100712,15,Jawa Timur
229,Ponorogo,386371,413921,433298,416922,282757,15,Jawa Timur
230,Trenggalek,130838,143858,155273,152567,95663,15,Jawa Timur
231,Tulungagung,291123,311646,323666,311303,203540,15,Jawa Timur
232,Blitar,349442,373459,387807,382371,264219,15,Jawa Timur
233,Kediri,440482,460299,460089,427207,360627,15,Jawa Timur
234,Malang,456122,443707,457505,450554,362474,15,Jawa Timur
235,Lumajang,387248,409571,444260,418853,290096,15,Jawa Timur
236,Jember,865987,945361,983440,946295,679446,15,Jawa Timur
237,Banyuwangi,664655,669911,652763,580969,551851,15,Jawa Timur
238,Bondowoso,382905,410319,446029,434221,313707,15,Jawa Timur
239,Situbondo,363451,377978,369094,355257,268436,15,Jawa Timur
240,Probolinggo,407300,435442,454031,434052,321284,15,Jawa Timur
241,Pasuruan,452364,477590,498167,486131,299631,15,Jawa Timur
242,Sidoarjo,233715,211070,218261,211756,182767,15,Jawa Timur
243,Mojokerto,346978,378990,386415,365313,296405,15,Jawa Timur
244,Jombang,488674,505798,542880,523252,364265,15,Jawa Timur
245,Nganjuk,479369,499822,514572,492831,382669,15,Jawa Timur
246,Madiun,348834,370411,396587,386681,262467,15,Jawa Timur
247,Magetan,254284,275064,285124,277453,215389,15,Jawa Timur
248,Ngawi,531173,573636,594818,574692,403751,15,Jawa Timur
249,Bojonegoro,873560,934094,978286,943023,707646,15,Jawa Timur
250,Tuban,620176,671622,701289,678813,598034,15,Jawa Timur
251,Lamongan,943412,1025670,1048547,1008744,832825,15,Jawa Timur
252,Gresik,426169,452552,467764,423863,345347,15,Jawa Timur
253,Bangkalan,332384,351602,365984,352263,285500,15,Jawa Timur
254,Sampang,226019,243579,258208,248528,304870,15,Jawa Timur
255,Pamekasan,191914,224987,223177,213809,216562,15,Jawa Timur
256,Sumenep,279432,305212,317696,305786,283772,15,Jawa Timur
257,Kota Kediri,10712,12110,12542,11191,21043,15,Jawa Timur
258,Kota Blitar,12422,13218,13646,12857,7101,15,Jawa Timur
259,Kota Malang,10419,10423,10586,9911,9804,15,Jawa Timur
260,Kota Probolinggo,19849,21773,22488,21645,18800,15,Jawa Timur
261,Kota Pasuruan,12298,13170,13433,12615,8591,15,Jawa Timur
262,Kota Mojokerto,5851,6157,5895,5758,3614,15,Jawa Timur
263,Kota Madiun,10048,10688,11464,10515,8536,15,Jawa Timur
264,Kota Surabaya,16012,16303,17534,14414,17690,15,Jawa Timur
265,Kota Batu,5333,5711,5418,4865,31322,15,Jawa Timur
266,Pandeglang,556587,598470,633194,657531,432816,16,Banten
267,Lebak,485469,542542,626298,623061,406786,16,Banten
268,Tangerang,394359,405271,425322,436236,332358,16,Banten
269,Serang,498623,527739,552031,577129,419367,16,Banten
270,Kota Tangerang,6307,5048,5340,4454,9644,16,Banten
271,Kota Cilegon,18226,17754,18599,18542,14232,16,Banten
272,Kota Serang,85262,91349,96651,96087,71977,16,Banten
273,Kota Tangerang Selatan,1051,823,766,436,604,16,Banten
274,Jembrana,98895,76069,75082,75416,89547,17,Bali
275,Tabanan,28835,232358,236769,222073,24777,17,Bali
276,Badung,134392,102382,98994,105414,116837,17,Bali
277,Gianyar,207412,151183,153853,152116,148893,17,Bali
278,Klungkung,51357,40053,38780,35671,46062,17,Bali
