No,Provinsi,2014,2015,2016,2017,2018,Lat,Long,ZoomLevel
1,Aceh,1820062,2331046,2205056,2494613,1861567.1,4.0428335,95.5277014,6
2,Sumatera Utara,3631039,4044829,4609791,5136186,2108284.72,2.2945924,98.3337639,5.75
3,Sumatera Barat,2519020,2550609,2503452,2824509,1483076.48,-0.7098715,100.039821,6
4,Riau,385475,393917,373536,365744,266375.53,0.5851638,100.9454625,5.75
5,Jambi,664720,541486,752811,782049,383045.74,-1.7336588,101.9468273,6.25
6,Sumatera Selatan,3670435,4247922,5074613,4943071,2994191.84,-3.2720263,103.0069554,6
7,Bengkulu,593194,578654,641881,731169,288810.52,-3.8251718,102.2345377,10
8,Lampung,3320064,3641895,4020420,4248977,2488641.91,-4.9991922,104.2720973,6.5
9,Bangka Belitung,23481,27068,35388,37123,45724.69,-2.2913219,105.9542429,6.5
10,Kepulauan Riau,1403,959,627,639,1097,0.3267439,103.6958847,6.5
11,DKI Jakarta,7541,6361,5342,4238,4899.14,-6.2660949,106.6747869,8.75
12,Jawa Barat,11644899,11373144,12540550,12299701,9647358.75,-6.8476309,106.9435255,6.5
13,Jawa Tengah,9648104,11301422,11473161,11396263,10499588.23,-7.0298854,109.3965536,6.5
14,D.I. Yogyakarta,919573,945 136,882702,881106,514935.49,-7.8722737,110.1440848,8
15,Jawa Timur,12397049,13154967,13633701,13060464,10203213.17,-7.2632853,111.7386641,5.75
16,Banten,2045883,2188996,2358202,2413477,1687783.3,-6.4444069,105.3795016,7
17,Bali,857944,853710,845559,836097,667069.06,-8.4134894,114.6220277,7.25
18,Nusa Tenggara Barat,2116637,2417392,2095117,2323701,1460338.81,-8.5530519,116.5093984,6.25
19,Nusa Tenggara Timur,825728,948088,924403,1090821,899935.88,-9.5229324,119.8148707,5
20,Kalimantan Barat,1372695,1275707,1364524,1397953,799715.21,-0.4729539,108.8664693,5
21,Kalimantan Tengah,838207,893202,774466,771893,514769.05,-1.3777532,111.0453782,5
22,Kalimantan Selatan,2094590,2140276,2313574,2452366,1327492.41,-3.0266009,114.3294175,6
23,Kalimantan Timur,426567,408782,305337,400 102,262773.88,0.104003,114.1860194,5
24,Kalimantan Utara,115620,112102,81854,75831,45063.53,2.7972337,114.9213643,5.5
25,Sulawesi Utara,637927,674 169,678151,775847,326929.74,2.930415,122.9028888,5
26,Sulawesi Tengah,56271,1015368,1101994,1144399,926978.66,-1.1264261,119.5696642,5
27,Sulawesi Selatan,5426097,5471806,5727081,6055404,5952616.45,-4.8179191,117.1943171,5
28,Sulawesi Tenggara,657617,660720,695329,711401,538876.14,-4.4918632,121.6191469,6
29,Gorontalo,314704,331220,344869,350193,269540.4,0.6763629,121.2352719,6
30,Sulawesi Barat,449621,461844,548536,667100,316478.37,-2.2070479,118.1689824,6
31,Maluku,102761,117791,99088,104716,116228.86,-4.8361302,125.8156719,5
32,Maluku Utara,72074,75265,82213,84037,49047.11,0.0892004,124.7251919,5
33,Papua Barat,27665,30219,27840,29516,24967.13,-1.6174939,130.0339175,5
34,Papua,196015,181769,233599,257888,223119.42,-4.8481082,133.3090458,5
35,Indonesia,70846465,75397841,79354767,81148594,59200533.72,-0.8941929,117.8948429,3.5
